5550,0.166355,18,24,0,0
5550,0.295617,18,27,1,0
5557,0.166286,18,24,0,0
5557,0.295454,18,27,1,0
5028,0.284812,18,42,1,0
5586,0.165913,18,24,0,0
5028,0.354288,18,45,2,0
5586,0.294844,18,27,1,0
5035,0.379381,18,42,2,0
5035,0.53095,18,45,3,0
5574,0.283862,18,42,1,0
5574,0.353185,18,45,2,0
5025,0.59653,18.0625,60,4,0
5029,0.530847,18,60,4,0
5025,0.757373,18.0625,63,6,0
5013,0.714313,18,78,7,0
5029,0.631822,18,63,5,0
5013,0.785999,18,81,8,0
5552,0.663528,18,78,6,0
5552,0.688071,18,81,7,0
5634,0.166051,18,24,0,0
5634,0.295301,18,27,1,0
5620,0.378806,18,42,2,0
5620,0.530199,18,45,3,0
5559,0.786912,18.8436,96,9,0
5559,0.803148,18.8436,99,10,0
5077,0.595396,18,60,4,0
5593,0.663578,18.0417,78,6,0
5077,0.756001,18,63,6,0
5593,0.688223,18.0417,81,7,0
5060,0.76437,18.0417,78,7,0
5060,0.883176,18.0417,81,9,0
5583,0.787132,18.8436,96,9,0
5675,0.165645,18,24,0,0
5117,0.166216,18,24,0,0
5654,0.378179,18,42,2,0
5076,0.763407,18.1097,78,7,0
5583,0.803536,18.8436,99,10,0
5675,0.294377,18,27,1,0
5616,0.764711,18,78,7,0
5117,0.295508,18,27,1,0
5654,0.529381,18,45,3,0
5084,0.464322,18.0625,60,3,0
5641,0.596619,18,60,4,0
5076,0.882104,18.1097,81,9,0
5085,0.530267,18,60,4,0
5616,0.883544,18,81,9,0
5661,0.378474,18,42,2,0
5084,0.505282,18.0625,63,4,0
5693,0.16601,18,24,0,0
5641,0.75748,18,63,6,0
5085,0.631164,18,63,5,0
5661,0.529766,18,45,3,0
5693,0.294963,18,27,1,0
5647,0.595179,18.117,60,4,0
5647,0.755739,18.117,63,6,0
5083,0.764312,18,78,7,0
5083,0.883132,18,81,9,0
5123,0.378689,18,42,2,0
5140,0.165522,18,24,0,0
5104,0.596412,18.0625,60,4,0
5663,0.529451,18,60,4,0
5695,0.378627,18,42,2,0
5123,0.530047,18,45,3,0
5140,0.294172,18,27,1,0
5645,0.763728,18.0417,78,7,0
5092,0.662716,18,78,6,0
5104,0.757241,18.0625,63,6,0
5663,0.630239,18,63,5,0
5695,0.529953,18,45,3,0
5699,0.37868,18,42,2,0
5645,0.882461,18.0417,81,9,0
5701,0.284589,18,42,1,0
5092,0.68726,18,81,7,0
5699,0.530035,18,45,3,0
5701,0.354155,18,45,2,0
5686,0.595938,18,60,4,0
5686,0.756656,18,63,6,0
5664,0.713749,18,78,7,0
5665,0.71324,18.1097,78,7,0
5697,0.463407,18.0625,60,3,0
5664,0.785401,18,81,8,0
5665,0.784862,18.1097,81,8,0
5113,0.713412,18.0417,78,7,0
5697,0.504334,18.0625,63,4,0
5132,0.59576,18.0625,60,4,0
5650,0.78679,18.9156,96,9,0
5113,0.785045,18.0417,81,8,0
5132,0.756442,18.0625,63,6,0
5650,0.803108,18.9156,99,10,0
5710,0.596135,18,60,4,0
5710,0.756895,18,63,6,0
5134,0.662995,18,78,6,0
5186,0.166044,18,24,0,0
5134,0.687623,18,81,7,0
5186,0.295192,18,27,1,0
5723,0.463499,18.0625,60,3,0
5723,0.504437,18.0625,63,4,0
5730,0.464022,18,60,3,0
5731,0.464099,18.0625,60,3,0
5738,0.464191,18,60,3,0
5730,0.504971,18,63,4,0
5731,0.505051,18.0625,63,4,0
5738,0.505162,18,63,4,0
5742,0.463277,18.82,60,3,0
5760,0.283721,18,42,1,0
5742,0.504199,18.82,63,4,0
