14.2228	2657	179
14.2702	2666	180
14.3255	2678	181
14.3579	2684	180
14.397	2692	180
14.4567	2703	180
14.544	2720	182
14.5877	2727	182
14.5877	2728	182
14.6052	2732	182
14.6274	2737	182
14.8169	2775	180
14.8319	2778	181
14.8319	2779	181
14.8469	2783	181
14.8613	2786	182
14.8652	2788	182
14.8776	2791	181
14.8776	2792	181
14.9018	2796	181
14.9018	2797	181
14.9304	2803	182
15.1863	2847	183
15.1981	2850	183
15.2428	2859	185
15.2856	2868	185
15.333	2877	186
15.3447	2880	186
15.3766	2886	187
15.3864	2888	187
15.4195	2895	186
15.428	2897	186
15.5183	2914	187
15.56	2922	187
15.5783	2925	187
15.59	2927	187
15.6128	2930	188
15.6128	2931	188
15.8229	2975	185
15.8451	2980	186
15.8693	2986	187
15.8837	2989	187
15.8948	2992	188
15.9026	2995	188
15.9203	2998	187
15.9203	2999	187
16.2789	3063	191
16.3075	3069	192
16.3375	3075	191
16.3375	3076	191
16.3804	3084	193
16.3903	3087	193
16.4203	3093	193
16.4827	3106	193
16.5139	3113	193
16.5998	3129	194
16.6193	3133	194
16.8166	3175	191
16.8244	3177	191
16.8487	3182	193
16.8487	3183	193
16.8585	3186	193
16.8774	3190	194
16.8774	3191	194
16.8924	3195	194
16.9081	3200	194
16.9225	3203	194
17.1558	3244	196
17.163	3246	196
17.2339	3261	197
17.2651	3267	198
17.2762	3270	198
17.3021	3276	198
17.3222	3280	198
17.3685	3289	199
17.4036	3296	199
17.4036	3297	199
17.4492	3306	200
17.472	3311	199
17.5044	3317	200
17.5207	3321	199
17.5734	3331	199
17.6112	3338	200
17.6432	3344	201
17.6693	3350	201
17.8114	3379	199
17.8207	3381	199
17.8363	3385	200
17.8494	3388	200
17.8644	3392	201
17.88	3396	201
17.8917	3399	200
17.8917	3400	200
17.9016	3402	200
17.91	3405	200
17.9238	3408	199
17.9238	3409	199
17.9448	3414	199
18.19	3453	203
18.19	3454	203
18.2191	3460	205
18.227	3463	204
18.2582	3469	204
18.2868	3476	204
18.318	3482	204
